"","Degree","Betweenness","Eigenvecto","Constraint"
"j8qxpe9",1,0,0,1
"j8qjefx",2,401,0,0.5
"j8qq9at",3,801,0,0.333333333333333
"j8oucfh",1,0,0,1
"j8rymb9",1,0,0,1
"j8r7iuo",1,0,0,1
"j8p71yh",3,1595,0,0.333333333333333
"j8p76a2",1,0,0,1
"j8w1lka",2,1592,0,0.5
"j8pmhft",3,1199,0,0.333333333333333
"j8poafg",2,2765,0,0.5
"j8oy7q5",3,2777,0,0.333333333333333
"j8oqen6",2,401,0,0.5
"j8ofz0n",1,0,0,1
"j8oo1qe",4,1992,0,0.25
"j8r8y32",1,0,0,1
"j8wifwf",1,0,0,1
"j8tdhgw",1,0,0,1
"j8tybgn",2,401,0,0.5
"j93oh3f",2,1592,0,0.5
"j8pjkrw",1,0,0,1
"j8qdarn",2,1592,0,0.5
"j8qv2gb",10,6287,0,0.1
"j8r3e12",5,2780,0,0.2
"j8qkfr3",1,0,0,1
"j8s99k6",1,0,0,1
"j8sd7sb",2,401,0,0.5
"j8u0yet",2,3537,0,0.5
"j8x6bwr",2,1592,0,0.5
"jen2p63",2,1197,0,0.5
"jptq29u",1,0,0,1
"j8s777i",1,0,0,1
"j8ruy0s",2,401,0,0.5
"j8qip26",2,800,0,0.5
"j8sqx7k",1,0,0,1
"j8qk87n",1,0,0,1
"j8qyt74",1,0,0,1
"j8qtvsz",1,0,0,1
"j8p7ggw",2,800,0,0.5
"j8qau7j",1,0,0,1
"j8wug81",2,1197,0,0.5
"j8qdu42",2,401,0,0.5
"j8s1q2i",1,0,0,1
"j8qgisu",2,2376,0,0.5
"j8p5g5l",2,1197,0,0.5
"j8oyyli",2,800,0,0.5
"j8owt6r",1,0,0,1
"j8owbsy",1,0,0,1
"j8oy4g0",1,0,0,1
"j8oqp3o",2,800,0,0.5
"j8uieoq",1,0,0,1
"j9443dc",2,1197,0,0.5
"j8qgwqr",2,1197,0,0.5
"j8s26j7",2,401,0,0.5
"j8rbhcx",3,801,0,0.333333333333333
"j8r9q77",3,801,0,0.333333333333333
"j8r1vdg",2,401,0,0.5
"j8riazj",2,401,0,0.5
"j8rbpaf",1,0,0,1
"j8rhaog",1,0,0,1
"j8rmwuz",1,0,0,1
"j8t6cmo",1,0,0,1
"j8rb2h9",1,0,0,1
"j8rc0q8",1,0,0,1
"j8rph4x",2,1197,0,0.5
"jgvlq9e",1,0,0,1
"j8u0dj1",1,0,0,1
"j8votog",2,3152,0,0.5
"j8x7uzj",2,1197,0,0.5
"jenxzq6",2,800,0,0.5
"j8rx2y0",1,0,0,1
"j8qivj5",2,401,0,0.5
"j8p83bn",2,401,0,0.5
"j8wwqsk",2,800,0,0.5
"j8r3ems",1,0,0,1
"j8qigky",2,1985,0,0.5
"j8qmmnd",2,800,0,0.5
"j8ozst5",2,401,0,0.5
"j8oqx13",2,401,0,0.5
"j944kry",2,800,0,0.5
"j8qiqkb",2,800,0,0.5
"j96pce2",1,0,0,1
"j8rid8g",1,0,0,1
"j8vb7q8",1,0,0,1
"j8rhk27",1,0,0,1
"jldpn6c",1,0,0,1
"jb07jap",1,0,0,1
"j8s89x7",1,0,0,1
"j8s53r3",2,800,0,0.5
"j8vt7c2",2,2765,0,0.5
"j8x984h",2,800,0,0.5
"jfb4pas",2,401,0,0.5
"j8t1x3z",1,0,0,1
"j8p8fzc",1,0,0,1
"j8x043i",2,401,0,0.5
"j8qjta9",2,1592,0,0.5
"j8qnimr",2,401,0,0.5
"j8qii69",1,0,0,1
"j8oycex",1,0,0,1
"j944p5q",2,401,0,0.5
"j8qkgs4",2,401,0,0.5
"j8sbig2",2,401,0,0.5
"j90zctn",2,2376,0,0.5
"j8xid5y",2,401,0,0.5
"jfboqze",1,0,0,1
"j8x0ulu",1,0,0,1
"j8qk2dl",2,1197,0,0.5
"j8rz61e",1,0,0,1
"j9451gc",1,0,0,1
"j8qlb9y",1,0,0,1
"j8tqk6c",1,0,0,1
"j93svzx",2,1985,0,0.5
"j9njzeu",1,0,0,1
"j8qkr36",2,800,0,0.5
"j93vzil",2,1592,0,0.5
"j8qmcrs",2,401,0,0.5
"j93y5ou",2,1197,0,0.5
"j8qobul",1,0,0,1
"j945di3",2,800,0,0.5
"j94aw22",2,401,0,0.5
"j94f2m7",1,0,0,1
