"","Degree","Betweenness","Eigenvecto","Constraint"
"jozqepv",1,0,0.000646464084109138,1
"j3dg1kx",2,571,0.000650586362347819,0.5
"j3dpp0o",2,571,0.000650586362347819,0.5
"j5o838q",1,0,0.000646464084109138,1
"janufuu",1,0,0.000646464084109139,1
"j3c7zla",3,1709,0.000629353496992117,0.333333333333333
"j3c9b1s",3,2841,0.000629405343608773,0.333333333333333
"j3dk4wo",2,1707,0.000625340327059151,0.5
"j3cgbxo",2,571,0.000617236389977875,0.5
"j3cm05s",3,1709,0.000621248724896988,0.333333333333333
"j3ckzje",2,571,0.000625210213496915,0.5
"j3hsvsc",1,0,0.000621248724897,1
"j3i3yb8",1,0,0.000621248724897001,1
"j3cg34i",6,4536,0.00064601924807591,0.166666666666667
"j3cmhyr",4,2277,0.000637646811178573,0.25
"j6q2b3n",1,0,0.000625500177645493,1
"j3cxw8u",2,1140,0.000629514373431963,0.5
"j3cp4ju",1,0,0.000621274810250583,1
"j3cts2f",3,2839,0.000629274886514348,0.333333333333333
"j3dc7c3",1,0,0.000621274810250584,1
"j3bynzl",1,0,0.000625339657189897,1
"j3dkve5",2,1140,0.000629352822823924,0.5
"j3ht7y5",2,571,0.000629327232252432,0.5
"j3i4wq1",2,571,0.000629327232252433,0.5
"j3dlguc",3,1141,0.00062122313752847,0.333333333333333
"j3cpa1w",2,1140,0.000617261649975705,0.5
"j3bvp7k",1,0,0.000613300486652274,1
"j3gj0w1",1,0,0.000520849552055372,1
"j3i559c",1,0,0.000520849552055373,1
"jgeyd24",1,0,0.000520849552055373,1
"j3crwjs",4,4529,0.000527644235664371,0.25
"j3ehkrq",1,0,0.000517571601663732,1
"j9nhnqv",1,0,0.000514142360032508,1
"jgeyhde",1,0,0.000514142360032507,1
"j3clpn8",4,7877,0.000541594494532419,0.25
"j3eu8po",1,0,0.000531188628985229,1
"j3cv6f8",2,1140,0.000534597573111065,0.5
"j3dsj9h",5,3408,0.000541548419563324,0.2
"j3fcmvh",2,571,0.00053116645613286,0.5
"j3d39tc",1,0,0.000524326123781698,1
"j3d1bb5",1,0,0.000520871278706562,1
"j3g50tc",3,1141,0.000527556742170847,0.333333333333333
"j3c9saz",2,571,0.000524192694992704,0.5
"j3c9rl4",3,5087,0.000524192556420466,0.333333333333333
"j3kzbyw",1,0,0.000517485503051066,1
"j3fe76c",3,3965,0.000517484947827653,0.333333333333333
"j3c4lef",2,571,0.00052423588561409,0.5
"j3e07vv",2,571,0.000524235885614088,0.5
"j3cvdp2",3,1141,0.000527600209971385,0.333333333333333
"j3cpjrp",1,0,0.000514185818811609,1
"j3cc7t4",2,571,0.000517442180216594,0.5
"j3c88cu",2,571,0.000517442180216592,0.5
"j3dynti",1,0,0.000517463493861103,1
"j3dh1s5",2,571,0.000520763179880002,0.5
"j3lygac",2,571,0.000514121319090798,0.5
"j3c8pmp",1,0,0.000517506677216768,1
"j3ccnhj",2,1140,0.000520827816358523,0.5
"j3c22kk",3,1709,0.000524213589293828,0.333333333333333
"j3cmjco",2,571,0.000520849544818301,0.5
"j3coipv",2,571,0.000517463631526612,0.5
"j3cq91k",2,571,0.000520784630323481,0.5
"j3fyv5c",1,0,0.000517484808389195,1
"j3cjjnm",1,0,0.000517442180216598,1
"j3esv3q",1,0,0.000517442180216599,1
"j3hm4w0",2,571,0.000514121319090798,0.5
"j3heqgy",2,571,0.000514121319090799,0.5
"j3j7052",1,0,0.000510842811656581,1
"j3d43sb",2,1140,0.000517442044312474,0.5
"j3d5fhm",1,0,0.000510842811656581,1
"j3is0sh",2,571,0.00052412708397599,0.5
"j3gc2jf",1,0,0.000520806083417694,1
"j3ck6w2",1,0,0.000520806221094659,1
"j3e2izh",2,1707,0.000514142495069936,0.5
"j3c68dd",3,1141,0.000524170544487113,0.333333333333333
"j3ciul7",1,0,0.000517527992617143,1
"j3cru2l",1,0,0.000517527992617143,1
"j7qqo72",2,571,0.000514121319090799,0.5
"j3dweyq",1,0,0.000510842811656581,1
"j3gglzf",2,571,0.000514121319090799,0.5
"jajnov8",1,0,0.000510842811656581,1
"j3erc5y",1,0,0.000510842811656581,1
"ji7av1t",1,0,0.000510842811656581,1
